entity	type	time	description	
投資法人	專有名詞	2019Q1	法人投資者指的是企業、機構或任何非個人的法律實體，進行金融投資活動的實體。	
Q one	專有名詞	2019Q1	指一年中的第一季度。	
經濟成長率	專有名詞	2019Q1	一國或地區經濟增長的速度，通常以GDP增長率來表示。	
貨幣政策	專有名詞	2019Q1	由中央銀行制定和執行的政策，目的是控制貨幣供應量，影響利率，從而影響經濟活動。	
GDP	專有名詞	2019Q1	國內生產總值，衡量一個國家或地區在一定時期內生產的所有最終商品和服務的市場價值。	
玉山金控	公司名稱	2019Q1	玉山金融控股公司，一家在台灣設立的金融服務公司。	
淨值	專有名詞	2019Q1	資產減去負債後的剩餘價值。	Hi
雙重槓桿比率	專有名詞	2019Q1	通常指控股公司的槓桿情況，計算其資本結構的複雜性與風險。	
稅後淨利	專有名詞	2019Q1	扣除稅費後的淨利潤，反映公司實際盈利能力。	
淨收益	專有名詞	2019Q1	業從業務活動中賺取的總收入扣除成本和費用後的餘額。	
DPS	專有名詞	2019Q1	每股股息（Dividend Per Share），表示公司支付給股東的每股股息金額。	
ROE	專有名詞	2019Q1	股東權益回報率（Return on Equity），衡量公司使用股東資金的效率。	
ROA	專有名詞	2019Q1	資產回報率（Return on Assets），衡量公司利用其資產生成收益的能力。	
pi錢包	產品	2019Q1	指一種數位錢包或特定的金融科技產品。	
預期放款比率	專有名詞	2019Q1	預計的放款總額與實際放款總額的比例。	
the banker	公司名稱	2019Q1		
CSR	專有名詞	2019Q1	企業社會責任（Corporate Social Responsibility），企業對社會、環境及經濟持續發展的承諾。	
net revenue	罕見詞	2019Q1	淨收入，指企業從銷售商品或提供服務後，扣除成本、費用後的收入。	
Fixed Income	專有名詞	2019Q1	固定收益，指定期支付固定利息的金融投資，如債券。	
other income	專有名詞	2019Q1	其他收入，非主營業務以外的收入，如投資收益。	
淨手續費	專有名詞	2019Q1	指銀行等金融機構收取的手續費扣除成本後的淨額。	
市占率	專有名詞	2019Q1	企業在特定市場的銷售占該市場總銷售的比例。	
YOY	專有名詞	2019Q1	年比年增長（Year Over Year），比較同一時間點不同年份的數據差異。	
放款	專有名詞	2019Q1	銀行或金融機構提供的貸款。	
LDR	專有名詞	2019Q1	貸款與存款比率（Loan-to-Deposit Ratio），衡量銀行貸款總額與存款總額的比例。	
消金	專有名詞	2019Q1	消費金融，指提供個人消費貸款的金融服務。	
NIM	專有名詞	2019Q1	淨利差（Net Interest Margin），衡量銀行利息收入與支付利息成本的差額比率。	
Spread	專有名詞	2019Q1	利差，指貸款利率與存款利率之間的差距。	
存放比	專有名詞	2019Q1	指銀行的存款與放款的比率。	
NPL Ratio	公司名稱	2019Q1	不良貸款比率，衡量銀行不良貸款總額與總貸款額的比例。	
企金	專有名詞	2019Q1	企業金融，提供給公司的金融服務，包括貸款、股權投資等。	
C I Ratio	專有名詞	2019Q1	成本收入比率，指企業的營運成本與總收入的比例。	
資本適足率	專有名詞	2019Q1	衡量銀行資本充足的一種指標，以支持其運營和承擔可能損失。	
BIS Ratio	專有名詞	2019Q1	國際清算銀行資本比率，衡量銀行核心資本與風險資產總額的比率。	
陳美滿	人名	2019Q1	玉山金融控股公司 總經理 / 玉山金融控股公司 永續長	
柯治宏	人名	2019Q1	玉山金融控股公司 會計長	
謝冠仁	人名	2019Q1	玉山金融控股公司 風險長	
EPS	專有名詞	2019Q1	每股收益（Earnings Per Share），衡量每股可分配利潤的指標。	
OCI	專有名詞	2019Q1	其他全面收益（Other Comprehensive Income），記錄企業未經過損益表的收益和支出。	
AC	專有名詞	2019Q1	指會計或財務概念中的"累積"（Accumulated）或特定情境下的縮寫。	
PML	公司名稱	2019Q1	PIMCO Municipal Income Fund II，這是一個由太平洋投資管理公司（PIMCO）管理的市政收益基金。該基金專注於投資美國的市政債券，旨在為投資者提供免稅收入。	
財富管理	專有名詞	2019Q1	指提供投資管理、財務規劃和其他財富相關服務的金融業務。	
IPO	專有名詞	2019Q1	首次公開募股（Initial Public Offering），公司首次對外公開出售股票。	
AO	專有名詞	2019Q1	客戶經理（Account Officer）	
南山人壽	公司名稱	2019Q1	台灣的一家人壽保險公司。	
法金	專有名詞	2019Q1	法人金融，指向法人或企業客戶提供的金融服務。	
玉山	公司名稱	2019Q1	玉山金融控股公司縮寫，一家在台灣設立的金融服務公司。	
market share	專有名詞	2019Q1	市場份額，指一個公司或品牌在特定市場的銷售占比。	
basis point	專有名詞	2019Q1	基點，金融術語，1基點等於1/100個百分點。	
預放	專有名詞	2019Q1	提前配置或預先安排資金或資源。	
SWAP	專有名詞	2019Q1	掉期，金融術語，指兩方交換現金流的協議。	
聯貸	專有名詞	2019Q1	集團貸款，多家銀行共同提供的大額貸款。	
歐洲	地點	2019Q1	歐洲是世界七大洲之一，位於地球的北半球，西邊由大西洋包圍，南邊是地中海，東邊則與亞洲主要由烏拉爾山脈和高加索山脈劃分。	
台灣	地點	2019Q1	台灣是位於東亞的一個島嶼，東臨太平洋，北靠東海，距離中國大陸的東南海岸約160公里。台灣以其豐富的自然景觀、多元的文化和高度發展的科技產業聞名。	
美國	地點	2019Q1	美國是由50個州和數個領土組成的聯邦共和國，位於北美洲，東臨大西洋，西臨太平洋。美國是世界上最大的經濟體之一，具有顯著的政治、經濟和文化影響力。	
FX	專有名詞	2019Q1	外匯（Foreign Exchange），外匯市場的交易或相關業務。	
法說會	專有名詞	2019Q2		
IR	專有名詞	2019Q2		
先進	罕見詞	2019Q2		
FED	專有名詞	2019Q2		
中國	地點	2019Q2		
亞洲四小龍	罕見詞	2019Q2		
主計處	專有名詞	2019Q2		
twA Plus	專有名詞	2019Q2		
S&P	專有名詞	2019Q2		
Net Profit	專有名詞	2019Q2		
Large Corporate	專有名詞	2019Q2		
BP	專有名詞	2019Q2		
pi信用卡	產品	2019Q2		
稅後盈餘	專有名詞	2019Q2		
香港	地點	2019Q2		
新加坡	地點	2019Q2		
VP	專有名詞	2019Q2		
曝險	專有名詞	2019Q2		
深圳	地點	2019Q2		
廣州	地點	2019Q2		
東莞	地點	2019Q2		
長安	地點	2019Q2		
央企	專有名詞	2019Q2		
摩根大通	公司名稱	2019Q2		
關聯稅制	專有名詞	2019Q2		
南山廣場	地點	2019Q2		
美林證券	公司名稱	2019Q2		
PCHOME	公司名稱	2019Q2		
智能金融處	專有名詞	2019Q2		
UBear	專有名詞	2019Q2		
MMA	專有名詞	2019Q2		
企金法	專有名詞	2019Q2		
IF	專有名詞	2020Q1		
聯準會	專有名詞	2020Q1		
半導體五G	產品	2020Q1		
Global Finance	公司名稱	2020Q1		
英國	地點	2020Q1		
淨手收	專有名詞	2020Q1		
淨利收	專有名詞	2020Q1		
SME	專有名詞	2020Q1		
逾放比	專有名詞	2020Q1		
財管	專有名詞	2020Q1		
熔斷	專有名詞	2020Q1		
元大	公司名稱	2020Q1		
JP	公司名稱	2020Q1		
創投	專有名詞	2020Q1		
央行	專有名詞	2020Q1		
BP	專有名詞	2020Q1		
指數型	專有名詞	2020Q1		
紓困振興	專有名詞	2020Q1		
台新	公司名稱	2020Q1		
南山	公司名稱	2020Q1		
斷鏈	專有名詞	2020Q1		
KGI	公司名稱	2020Q1		
國泰	公司名稱	2020Q1		
cost funding	專有名詞	2020Q1		
花旗	公司名稱	2020Q1		
通貨膨脹	專有名詞	2020Q1		
富邦	公司名稱	2020Q1		
外幣存放比	專有名詞	2020Q1		
財金處	專有名詞	2020Q1		
黃男州	人名	2020Q2		
IMF	公司名稱	2020Q2		
離岸風電	專有名詞	2020Q2		
松江	公司名稱	2020Q2		
台大	地點	2020Q2		
張智星	人名	2020Q2		
Asiamoney	公司名稱	2020Q2		
Finance Asia	專有名詞	2020Q2		
ESG	專有名詞	2020Q2		
淨提存	專有名詞	2020Q2		
手收	專有名詞	2020Q2		
Coverage Ratio	專有名詞	2020Q2		
CAR Ratio	專有名詞	2020Q2		
covid ninteen	專有名詞	2020Q2		
IT	專有名詞	2020Q2		
E指貸	專有名詞	2020Q2		
民營	地點	2020Q2		
ITE	公司名稱	2020Q2		
個金	專有名詞	2020Q2		
玉證	公司名稱	2020Q2		
so not so good	罕見詞	2020Q2		
停售效應	專有名詞	2020Q2		
生技股	產品	2020Q2		
DCI	專有名詞	2020Q2		
IRD	公司名稱	2020Q2		
美林	公司名稱	2020Q2		
亞洲	地點	2020Q2		
三道防線	專有名詞	2020Q2		
Mobile Banking	產品	2020Q3		
DJSI	專有名詞	2020Q3		
玉輝	人名	2020Q3		
IHS	專有名詞	2020Q3		
道瓊永續指數	專有名詞	2020Q3		
毛手收	專有名詞	2020Q3		
許誠洲	人名	2020Q3		
KYC	專有名詞	2020Q3		
IP	專有名詞	2020Q3		
Mortgage	專有名詞	2020Q3		
LTV	專有名詞	2020Q3		
川普	人名	2020Q3		
拜登	人名	2020Q3		
GP	專有名詞	2020Q3		
國泰證券	公司名稱	2020Q3		
北富銀	公司名稱	2020Q3		
清華	地點	2020Q3		
SOP	專有名詞	2020Q3		
利差	專有名詞	2020Q3		
EPN	專有名詞	2020Q4		
e.Fingo	產品	2020Q4		
MSCI ESG Ratings	專有名詞	2020Q4		
TCFD	專有名詞	2020Q4		
GRI	專有名詞	2020Q4		
SASB	專有名詞	2020Q4		
high single digit	專有名詞	2020Q4		
瑞士信貸	公司名稱	2020Q4		
統一	公司名稱	2020Q4		
日盛	公司名稱	2020Q4		
consumer banking	專有名詞	2020Q4		
mortgage loan	專有名詞	2020Q4		
corporate banking	專有名詞	2020Q4		
NCD	專有名詞	2020Q4		
RM	專有名詞	2020Q4		
PVC	專有名詞	2020Q4		
wealth management	專有名詞	2020Q4		
OSU	專有名詞	2020Q4		
Carrefour家樂福	公司名稱	2020Q4		
Jasons market	公司名稱	2020Q4		
fifty fifty	專有名詞	2020Q4		
VOA	公司名稱	2020Q4		
GPS	專有名詞	2021Q1		
終端消費	專有名詞	2021Q1		
current ratio	專有名詞	2021Q1		
富比士	公司名稱	2021Q1		
forbes bank	公司名稱	2021Q1		
Sustainalytics	公司名稱	2021Q1		
PS ratio	專有名詞	2021Q1		
morgan stanley jp	公司名稱	2021Q1		
吳宏斌	人名	2021Q1		
fee income	專有名詞	2021Q1		
裕民	人名	2021Q1		
high base	專有名詞	2021Q1		
溫學華	人名	2021Q1		
data driven	專有名詞	2021Q1		
MGM	專有名詞	2021Q1		
ixml	專有名詞	2021Q1		
AUM	專有名詞	2021Q1		
holding company	專有名詞	2021Q1		
ban sanction	專有名詞	2021Q1		
FVPL	專有名詞	2021Q1		
mark to market	專有名詞	2021Q1		
operating cost	專有名詞	2021Q1		
operating expense	專有名詞	2021Q1		
CI ratio	專有名詞	2021Q1		
OPEC	專有名詞	2021Q1		
數金處	專有名詞	2021Q1		
智金	專有名詞	2021Q1		
fair value	專有名詞	2021Q1		
prime banking	專有名詞	2021Q1		
supply chain	專有名詞	2021Q1		
綠色金融	專有名詞	2021Q2		
the Asian Banker	專有名詞	2021Q2		
永續發展委員會	公司名稱	2021Q2		
風險管理委會	公司名稱	2021Q2		
depends on	專有名詞	2021Q2		
financial consultant	專有名詞	2021Q2		
private banker	專有名詞	2021Q2		
customer oriented	專有名詞	2021Q2		
玉山wallet	產品	2021Q2		
buy now pay later	專有名詞	2021Q2		
Apple	公司名稱	2021Q2		
risk management	專有名詞	2021Q2		
中國人壽	公司名稱	2021Q2		
OCD	專有名詞	2021Q2		
capital gain	專有名詞	2021Q2		
straight bond	專有名詞	2021Q2		
cost income ratio	專有名詞	2021Q2		
PMI	公司名稱	2021Q3		
南韓	地點	2021Q3		
曼谷	地點	2021Q3		
金管會	專有名詞	2021Q3		
智慧金融	專有名詞	2021Q3		
場景金融	專有名詞	2021Q3		
IBC	專有名詞	2021Q3		
數位轉型	專有名詞	2021Q3		
淨零碳排	專有名詞	2021Q3		
聯合國	專有名詞	2021Q3		
育輝	人名	2021Q3		
IDC	專有名詞	2021Q3		
OBU	專有名詞	2021Q3		
PBU	專有名詞	2021Q3		
powerpoint	產品	2021Q3		
華爾街	地點	2021Q3		
Formosa bond	產品	2021Q3		
inflation rate	專有名詞	2021Q3		
永豐	公司名稱	2021Q3		
華南	公司名稱	2021Q3		
INF	專有名詞	2021Q4		
corporate governance Asia	專有名詞	2021Q4		
CEO	專有名詞	2021Q4		
SBT	專有名詞	2021Q4		
GRM	專有名詞	2021Q4		
GIV	專有名詞	2021Q4		
史密斯	人名	2021Q4		
國民旅遊卡	產品	2021Q4		
烏克蘭	地點	2021Q4		
俄國	地點	2021Q4		
price in	專有名詞	2021Q4		
KPI	專有名詞	2021Q4		
ICU	專有名詞	2021Q4		
BU	專有名詞	2021Q4		
SU	專有名詞	2021Q4		
UPC	專有名詞	2021Q4		
全家	公司名稱	2022Q1		
全盈PLUS PAY	產品	2022Q1		
泰國	地點	2022Q1		
越南	地點	2022Q1		
胡志明	人名	2022Q1		
日本	地點	2022Q1		
福岡	地點	2022Q1		
CPI	專有名詞	2022Q1		
Best Managed Company in Asia	專有名詞	2022Q1		
SDT	專有名詞	2022Q1		
殖利率	專有名詞	2022Q1		
Year to date	專有名詞	2022Q1		
澳洲	地點	2022Q1		
布里斯本	地點	2022Q1		
東協	公司名稱	2022Q1		
IMO國際海事組織	公司名稱	2022Q1		
BOA	專有名詞	2022Q1		
UBS	公司名稱	2022Q1		
RE一百	專有名詞	2022Q2		
SMP Global	專有名詞	2022Q2		
東南亞	地點	2022Q2		
joseph	人名	2022Q2		
Magi	人名	2022Q2		
增資緘默期	專有名詞	2022Q4		
世界氣候峰會	公司名稱	2022Q4		
MSEI	專有名詞	2022Q4		
雪梨	地點	2022Q4		
中壢	地點	2022Q4		
VC	專有名詞	2022Q4		
UBF	專有名詞	2022Q4		
FVOCI	專有名詞	2022Q4		